station_id,avg_net_flow,cluster,lat,lng,station_name,seasonal_status,municipality,total_docks
57,-0.043478260869565216,2,42.340814,-71.0816197,Massachusetts Ave at Columbus Ave,Year Round,Boston,14
58,0.010869565217391304,2,42.3555362848971,-71.0728687047958,Mugar Way at Beacon St,Year Round,Boston,19
59,1.2717391304347827,2,42.351356,-71.059367,Chinatown Gate Plaza,Year Round,Boston,19
60,1.815217391304348,2,42.36079296858269,-71.0711896233715,Charles Circle - Charles St at Cambridge St,Year Round,Boston,19
61,2.109375,2,42.349081551681,-71.0819238424301,Boylston St at Fairfield St,Year Round,Boston,19
63,-0.31521739130434784,2,42.3440405100164,-71.0573762655258,Dorchester Ave at Gillette Park,Year Round,Boston,15
64,3.2282608695652173,2,42.3510044959467,-71.049300134182,Congress St at Sleeper St,Winter Storage,Boston,19
65,-2.9782608695652173,0,42.3477634541475,-71.0453599691391,Boston Convention and Exhibition Center - Summer St at West Side Dr,Year Round,Boston,23
66,-0.1956521739130435,2,42.349224693383,-71.1327530257859,Commonwealth Ave at Griggs St,Year Round,Boston,15
67,-2.9347826086956523,0,42.3581,-71.093198,MIT at Mass Ave / Amherst St,Year Round,Cambridge,27
68,-0.4888888888888889,2,42.36507,-71.1031,Central Square at Mass Ave / Essex St,Year Round,Cambridge,19
69,0.34782608695652173,2,42.341598,-71.123338,Coolidge Corner - Beacon St at Centre St,Year Round,Brookline,19
70,5.173913043478261,2,42.3722168027866,-71.121880710125,Harvard Kennedy School at Bennett St / Eliot St,Year Round,Cambridge,23
71,0.5760869565217391,2,42.3836389482227,-71.1085367202759,Conway Park - Somerville Avenue,Year Round,Somerville,23
72,0.8913043478260869,2,42.3622417865092,-71.0831107199192,One Broadway / Kendall Sq at Main St / 3rd St,Year Round,Cambridge,23
73,3.9347826086956523,2,42.3733287988741,-71.1209860108011,Harvard Square at Brattle St / Eliot St,Year Round,Cambridge,15
74,1.4130434782608696,2,42.373268,-71.118579,Harvard Square at Mass Ave/ Dunster,Year Round,Cambridge,19
75,1.7934782608695652,2,42.3634646930435,-71.1005732417107,Lafayette Square at Mass Ave / Main St / Columbia St,Year Round,Cambridge,15
76,-0.8260869565217391,2,42.366426,-71.105495,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,Year Round,Cambridge,17
77,-8.978260869565217,0,42.386844,-71.09812,Somerville City Hall,Year Round,Somerville,19
